LocationType,SampleDate,NO3median_mgL,num_samples,HPU,median_ht_above_C_cm,sdWLs,wells_included
G1,2010-08-26,0.15945749573842,1,E,53.724999999999994,57.735268683881586,2
G1,2011-04-07,0.176378802748018,1,E,84.1,32.38549057834386,2
G1,2011-04-14,0.16942282646656148,2,E,87.75,35.28462838120871,2
G1,2011-11-03,1.042105449745686,2,E,33.4,34.609816767308466,6
G1,2011-11-04,0.0913138741885147,1,E,26.85,34.41329684874728,6
G1,2012-02-01,2.7727196492291,2,E,21.95,35.25254127955411,6
G1,2012-03-22,2.06077729893837,3,E,40.2,33.03977401052656,6
G1,2012-04-24,1.27348027220636,3,E,55.10000000000001,35.92592030832334,5
G1,2012-08-10,1.1630229795112945,2,E,9.450000000000003,30.59891610280773,6
G1,2012-10-30,0.308074628244097,1,E,13.25,36.7559518989782,6
G1,2012-12-03,0.556186793588057,1,E,10.350000000000009,36.90178518716946,6
G1,2013-01-14,1.02179481145008,1,E,24.700000000000003,18.014417836832806,5
G1,2013-01-31,1.17134895856661,1,E,5.900000000000006,12.592577178639802,5
G1,2013-03-11,2.018791326039049,4,E,12.675000000000004,35.4226622376128,6
G1,2013-03-12,5.02005627558601,4,E,22.1,34.194819295715924,6
G1,2013-03-13,1.7064980475332,3,E,29.175,33.70956837457281,6
G1,2013-03-27,6.74499487270827,1,E,19.125,35.861294129836786,6
G1,2013-04-01,1.744434766385695,4,E,42.825,33.32580081558431,6
G1,2013-04-11,0.858217720725835,3,E,45.900000000000006,33.361814499014685,6
G1,2013-06-27,1.62140184691469,1,E,22.525,34.978761413177565,6
G1,2013-09-03,1.8370737126707264,2,E,9.549999999999997,4.596194077712559,2
G1,2013-11-07,2.669010438444407,2,E,17.150000000000002,5.868986283848347,2
G1,2014-06-13,1.64503992154868,4,E,9.900000000000006,5.374011537017757,2
G1,2014-06-14,1.418277688919195,4,E,16.925,4.419417382415927,2
G1,2014-06-16,2.95815686769961,1,E,47.95,9.616652224137042,2
G1,2014-07-16,0.801696645802943,3,E,6.6000000000000085,NA,1
G1,2014-08-04,0.345257462358778,1,E,-5.200000000000003,11.317832536900932,3
G1,2014-08-13,2.51930605903377,2,E,-5.399999999999999,10.481889142707052,3
G1,2014-10-07,1.265392388383231,4,E,10.149999999999999,10.210166502070376,4
G1,2014-10-08,0.1964746612727615,4,E,4.475000000000005,10.075744389373922,4
G1,2019-06-06,0.04,2,E,48.925000000000004,33.41079541106438,2
G1,2019-06-11,0.04,1,E,55.725,26.198306242961586,2
G1,2019-07-12,0.88,1,E,117.69999999999999,67.175144212722,2
G2,2010-09-29,0.47361283732550996,2,Bhs,12.150000000000006,15.202795795510772,2
G2,2011-04-07,1.72912682907376,2,Bhs,59.45,17.324116139070416,2
G2,2011-04-14,1.606656451692725,2,Bhs,85.47500000000001,29.238865402063738,2
G2,2011-05-24,0.478742687155739,2,Bhs,70.05,20.576807332528528,2
G2,2011-08-16,0.800199860032621,3,Bhs,6.850000000000001,18.654222042208033,6
G2,2011-08-29,0.310543306212844,2,Bhs,28.725,26.798239991959672,6
G2,2011-11-03,1.4419095731476546,2,Bhs,20.900000000000006,25.549841812948017,6
